Sevilla, -, ESP
month,day,hour,Direct Norm Rad,
 , , ,(Wh/sq.m),
1,12,23,0.0,
1,12,24,0.0,
1,13,1,0.0,
1,13,2,0.0,
1,13,3,0.0,
1,13,4,0.0,
1,13,5,0.0,
1,13,6,0.0,
1,13,7,0.0,
1,13,8,0.0,
1,13,9,0.0,
1,13,10,523.0,
1,13,11,659.0,
1,13,12,741.0,
1,13,13,788.0,
1,13,14,804.0,
1,13,15,788.0,
1,13,16,744.0,
1,13,17,665.0,
1,13,18,536.0,
1,13,19,0.0,
1,13,20,0.0,
1,13,21,0.0,
1,13,22,0.0,
1,13,23,0.0,
1,13,24,0.0,
1,14,1,0.0,
1,14,2,0.0,
1,14,3,0.0,
1,14,4,0.0,
1,14,5,0.0,
1,14,6,0.0,
1,14,7,0.0,
1,14,8,0.0,
1,14,9,0.0,
1,14,10,523.0,
1,14,11,662.0,
1,14,12,744.0,
1,14,13,788.0,
1,14,14,804.0,
1,14,15,791.0,
1,14,16,747.0,
1,14,17,668.0,
1,14,18,539.0,
1,14,19,0.0,
1,14,20,0.0,
1,14,21,0.0,
1,14,22,0.0,
1,14,23,0.0,
1,14,24,0.0,
1,15,1,0.0,
1,15,2,0.0,
1,15,3,0.0,
1,15,4,0.0,
1,15,5,0.0,
1,15,6,0.0,
1,15,7,0.0,
1,15,8,0.0,
1,15,9,0.0,
1,15,10,523.0,
1,15,11,662.0,
1,15,12,744.0,
1,15,13,788.0,
1,15,14,804.0,
1,15,15,791.0,
1,15,16,750.0,
1,15,17,671.0,
1,15,18,542.0,
1,15,19,0.0,
1,15,20,0.0,
1,15,21,0.0,
1,15,22,0.0,
1,15,23,0.0,
1,15,24,0.0,
1,16,1,0.0,
1,16,2,0.0,
1,16,3,0.0,
1,16,4,0.0,
1,16,5,0.0,
1,16,6,0.0,
1,16,7,0.0,
1,16,8,0.0,
1,16,9,0.0,
1,16,10,56.0,
1,16,11,44.0,
1,16,12,37.0,
1,16,13,34.0,
1,16,14,37.0,
1,16,15,47.0,
1,16,16,56.0,
1,16,17,44.0,
1,16,18,56.0,
1,16,19,0.0,
1,16,20,0.0,
1,16,21,0.0,
1,16,22,0.0,
1,16,23,0.0,
1,16,24,0.0,
1,17,1,0.0,
1,17,2,0.0,
1,17,3,0.0,
1,17,4,0.0,
1,17,5,0.0,
1,17,6,0.0,
1,17,7,0.0,
1,17,8,0.0,
1,17,9,0.0,
1,17,10,517.0,
1,17,11,662.0,
1,17,12,744.0,
1,17,13,791.0,
1,17,14,807.0,
1,17,15,794.0,
1,17,16,750.0,
1,17,17,675.0,
1,17,18,542.0,
1,17,19,0.0,
1,17,20,0.0,
1,17,21,0.0,
1,17,22,0.0,
1,17,23,0.0,
1,17,24,0.0,
1,18,1,0.0,
1,18,2,0.0,
1,18,3,0.0,
1,18,4,0.0,
1,18,5,0.0,
1,18,6,0.0,
1,18,7,0.0,
1,18,8,0.0,
1,18,9,0.0,
1,18,10,208.0,
1,18,11,280.0,
1,18,12,583.0,
1,18,13,586.0,
1,18,14,264.0,
1,18,15,154.0,
1,18,16,328.0,
1,18,17,615.0,
1,18,18,580.0,
1,18,19,0.0,
1,18,20,0.0,
1,18,21,0.0,
1,18,22,0.0,
1,18,23,0.0,
1,18,24,0.0,
